state,answer_set,facility_name,skills_for_politics,count,n_respondents,pct_of_respondents
CA,all-surveys,"San Joaquin County Jail, CA",Strongly disagree,9,76,0.11842105263157894
CA,all-surveys,"Santa Barbara County, CA",Disagree,9,50,0.18
CO,all-surveys,"La Plata County, CO ",Agree,9,15,0.6
CO,all-surveys,"Mesa County, CO",Disagree,9,59,0.15254237288135594
FL,all-surveys,"Nassau County, FL",Agree,9,16,0.5625
FL,all-surveys,Santa Rosa County FL,Disagree,9,41,0.21951219512195122
GA,all-surveys,"Athens Clarke County Jail, GA",Strongly agree,9,50,0.18
GA,all-surveys,"Athens Clarke County Jail, GA",Strongly disagree,9,50,0.18
GA,all-surveys,"Columbia County Detention Center, GA",Agree,9,20,0.45
MA,all-surveys,"Norfolk County Jail, MA",Agree,9,23,0.391304347826087
MA,all-surveys,"Norfolk County Jail, MA",Disagree,9,23,0.391304347826087
MA,all-surveys,"Plymouth County Correctional Facility, MA",Disagree,9,33,0.2727272727272727
MA,all-surveys,"Suffolk County Jail, MA",Strongly disagree,9,63,0.14285714285714285
MD,all-surveys,"Anne Arundel County, MD",Agree,9,14,0.6428571428571429
MT,all-surveys,"Missoula County, MT",Strongly agree,9,21,0.42857142857142855
NM,all-surveys,"Chaves County Adult Detention Center, NM",Disagree,9,27,0.3333333333333333
NM,all-surveys,"Lea County Sheriff's Office, NM",Agree,9,17,0.5294117647058824
NY,all-surveys,"Niagara County Correctional Facility, NY",Strongly agree,9,39,0.23076923076923078
NY,all-surveys,"Onondaga County-Justice Center, NY",Agree,9,24,0.375
NY,all-surveys,"Suffolk County, NY ",Strongly agree,9,51,0.17647058823529413
OR,all-surveys,"Lincoln County, OR",Disagree,9,35,0.2571428571428571
PA,all-surveys,"Berks County Jail, PA",Strongly agree,9,48,0.1875
PA,all-surveys,"Cambria County Prison, PA",Agree,9,18,0.5
SC,all-surveys,"Clarendon County, SC",Agree,9,12,0.75
TX,all-surveys,"Hunt County, TX",Agree,9,21,0.42857142857142855
TX,all-surveys,"Johnson County, TX",Strongly agree,9,37,0.24324324324324326
TX,all-surveys,"Potter County Detention, TX",Disagree,9,52,0.17307692307692307
UT,all-surveys,"Beaver County, UT",Strongly agree,9,27,0.3333333333333333
VA,all-surveys,"Chesapeake Correctional Center, VA",Disagree,9,61,0.14754098360655737
VA,all-surveys,"Western Regional, VA",Disagree,9,36,0.25
WA,all-surveys,"Whatcom County, WA - Main Jail",Disagree,9,21,0.42857142857142855
WI,all-surveys,"Dodge County, WI",Agree,9,26,0.34615384615384615
WV,all-surveys,WV DCR Potomac Highlands Regional Jail,Agree,9,16,0.5625
WV,all-surveys,WV DCR Southwestern Regional Jail,Strongly agree,9,35,0.2571428571428571
AZ,all-surveys,"Pinal County Jail, AZ",Strongly agree,8,35,0.22857142857142856
CA,all-surveys,"Butte County, CA",Strongly agree,8,46,0.17391304347826086
CA,all-surveys,"Sonoma County, CA",Agree,8,16,0.5
CO,all-surveys,"Denver County Jail, CO",Strongly disagree,8,102,0.0784313725490196
CO,all-surveys,"Douglas Detention Center, CO",Disagree,8,32,0.25
CO,all-surveys,"Douglas Detention Center, CO",Strongly agree,8,32,0.25
CO,all-surveys,"Larimer County, CO",Strongly agree,8,28,0.2857142857142857
FL,all-surveys,"Escambia County Jail, FL",Disagree,8,34,0.23529411764705882
FL,all-surveys,"Sarasota County, FL",Disagree,8,46,0.17391304347826086
GA,all-surveys,"Athens Clarke County Jail, GA",Disagree,8,50,0.16
GA,all-surveys,"Bibb County Jail, GA",Strongly agree,8,39,0.20512820512820512
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Strongly disagree,8,76,0.10526315789473684
IL,all-surveys,"Kane County, IL",Disagree,8,36,0.2222222222222222
