state,answer_set,facility_name,gender,count,n_respondents,pct_of_respondents
NM,all-surveys,"Santa Fe County Adult Correctional Facility, NM",Man,35,37,0.9459459459459459
AL,all-surveys,"Tuscaloosa County Jail, AL",Man,34,36,0.9444444444444444
GA,all-surveys,"Dekalb County Jail, GA",Man,34,37,0.918918918918919
CO,all-surveys,"Larimer County, CO",Man,33,47,0.7021276595744681
NY,all-surveys,"Chautauqua County, NY",Man,33,39,0.8461538461538461
NY,all-surveys,"Onondaga County-Justice Center, NY",Man,33,39,0.8461538461538461
VA,all-surveys,"Western Regional, VA",Man,33,54,0.6111111111111112
CO,all-surveys,"Douglas Detention Center, CO",Man,32,43,0.7441860465116279
IA,all-surveys,"Polk County, IA ",Man,32,44,0.7272727272727273
WI,all-surveys,"Rock County, WI",Man,32,37,0.8648648648648649
CA,all-surveys,"Alameda County-Santa Rita, CA",Man,31,41,0.7560975609756098
IN,all-surveys,"La Port County Jail, IN",Man,31,38,0.8157894736842105
PA,all-surveys,"Delaware County, PA",Man,31,36,0.8611111111111112
PA,all-surveys,"Fayette County, PA",Man,31,37,0.8378378378378378
WV,all-surveys,WV DCR Central Regional Jail,Man,31,41,0.7560975609756098
NJ,all-surveys,"Hudson County Corrections Center, NJ",Man,30,32,0.9375
PA,all-surveys,"Chester County Prison, PA",Man,30,32,0.9375
TX,all-surveys,"McLennan County, TX",Woman,30,80,0.375
WV,all-surveys,WV DCR South Central Regional Jail,Man,30,36,0.8333333333333334
AL,all-surveys,"Riverside Regional, VA",Man,29,36,0.8055555555555556
CA,all-surveys,"Sonoma County, CA",Man,29,41,0.7073170731707317
FL,all-surveys,"Bay County, FL",Man,29,34,0.8529411764705882
MA,all-surveys,"Norfolk County Jail, MA",Man,29,30,0.9666666666666667
MI,all-surveys,"Genesee County, MI",Man,29,35,0.8285714285714286
VA,all-surveys,"Arlington County Detention Center, VA",Man,29,34,0.8529411764705882
AL,all-surveys,"Montgomery County, AL",Man,28,29,0.9655172413793104
FL,all-surveys,"Lake County Detention Center, FL",Man,28,29,0.9655172413793104
KS,all-surveys,"Shawnee County Detention Center, KS",Man,28,38,0.7368421052631579
MD,all-surveys,"Washington County Detention Center, MD",Man,28,36,0.7777777777777778
NM,all-surveys,"Lea County Sheriff's Office, NM",Man,28,35,0.8
IN,all-surveys,"Boone County, IN",Man,27,31,0.8709677419354839
NC,all-surveys,"Onslow County Jail, NC",Man,27,33,0.8181818181818182
CO,all-surveys,"Pueblo County, CO",Woman,26,94,0.2765957446808511
FL,all-surveys,"St. Lucie County Jail, FL",Man,26,27,0.9629629629629629
IL,all-surveys,"DuPage County Jail, IL",Man,26,29,0.896551724137931
IN,all-surveys,"Hamilton County Main Jail, IN",Woman,26,98,0.2653061224489796
KS,all-surveys,"Douglas County, KS",Man,26,34,0.7647058823529411
NC,all-surveys,"Craven County Jail, NC",Man,26,34,0.7647058823529411
OR,all-surveys,"Lincoln County, OR",Man,26,40,0.65
