state,answer_set,facility_name,us_ready_elect_woman_president,count,n_respondents,pct_of_respondents
CA,all-surveys,"Ventura County Sheriff's Office, CA",Not sure,11,53,0.20754716981132076
CO,all-surveys,"Denver County Jail, CO",Not sure,11,71,0.15492957746478872
CO,all-surveys,"Pueblo County, CO",No,11,51,0.21568627450980393
FL,all-surveys,"Escambia County Jail, FL",No,11,28,0.39285714285714285
GA,all-surveys,"Athens Clarke County Jail, GA",No,11,32,0.34375
MD,all-surveys,"Washington County Detention Center, MD",Yes,11,30,0.36666666666666664
NC,all-surveys,"Cumberland County, NC",No,11,36,0.3055555555555556
NJ,all-surveys,"Hudson County Corrections Center, NJ",Yes,11,15,0.7333333333333333
NY,all-surveys,"Monroe County Sheriff's Department, NY",Not sure,11,41,0.2682926829268293
OH,all-surveys,"Lorain County, OH ",Yes,11,23,0.4782608695652174
PA,all-surveys,"Chester County Prison, PA",Yes,11,27,0.4074074074074074
PA,all-surveys,"Montgomery County Correctional Facility, PA",Not sure,11,57,0.19298245614035087
PA,all-surveys,"Westmoreland County, PA",Not sure,11,62,0.1774193548387097
SC,all-surveys,"Pickens County Detention Facility, SC",No,11,28,0.39285714285714285
UT,all-surveys,"Salt Lake City County, UT",Not sure,11,32,0.34375
VA,all-surveys,"Henrico County Sheriff's Office, VA",Yes,11,24,0.4583333333333333
VA,all-surveys,"Pamunkey Regional Jail, VA",No,11,35,0.3142857142857143
VA,all-surveys,"Roanoke City Adult Detention Center, VA",No,11,39,0.28205128205128205
VA,all-surveys,"Western Regional, VA",No,11,27,0.4074074074074074
WA,all-surveys,"King County Adult Detention, WA",No,11,57,0.19298245614035087
WI,all-surveys,"Rock County, WI",Yes,11,18,0.6111111111111112
WI,all-surveys,"Sheboygan County Jail, WI",Not sure,11,30,0.36666666666666664
WI,all-surveys,"Sheboygan County Jail, WI",Yes,11,30,0.36666666666666664
WV,all-surveys,WV DCR Central Regional Jail,No,11,31,0.3548387096774194
WV,all-surveys,WV DCR Central Regional Jail,Not sure,11,31,0.3548387096774194
WV,all-surveys,WV DCR Southwestern Regional Jail,No,11,24,0.4583333333333333
WV,all-surveys,WV DCR Western Regional Jail,No,11,25,0.44
AL,all-surveys,"Riverside Regional, VA",Yes,10,18,0.5555555555555556
CA,all-surveys,"Orange County, CA - Theo Lacy",Not sure,10,73,0.136986301369863
CA,all-surveys,"San Joaquin County Jail, CA",No,10,45,0.2222222222222222
CA,all-surveys,"San Joaquin County Jail, CA",Not sure,10,45,0.2222222222222222
CA,all-surveys,"Santa Barbara County, CA",No,10,41,0.24390243902439024
FL,all-surveys,"Bay County, FL",Yes,10,35,0.2857142857142857
FL,all-surveys,"Nassau County, FL",Yes,10,22,0.45454545454545453
GA,all-surveys,"Columbia County Detention Center, GA",Yes,10,17,0.5882352941176471
GA,all-surveys,"Dekalb County Jail, GA",Yes,10,17,0.5882352941176471
IL,all-surveys,"Kane County, IL",Not sure,10,44,0.22727272727272727
IL,all-surveys,"Vermilion County Jail, IL",Yes,10,19,0.5263157894736842
IN,all-surveys,"Elkhart County Jail, IN",Not sure,10,59,0.1694915254237288
KS,all-surveys,"Douglas County, KS",Yes,10,17,0.5882352941176471
KS,all-surveys,"Shawnee County Detention Center, KS",No,10,33,0.30303030303030304
MI,all-surveys,"Genesee County, MI",Yes,10,21,0.47619047619047616
MI,all-surveys,"Macomb County, MI",No,10,20,0.5
MO,all-surveys,"St. Louis County Jail, MO",No,10,36,0.2777777777777778
NC,all-surveys,"Onslow County Jail, NC",No,10,33,0.30303030303030304
NE,all-surveys,"Scotts Bluff County Detention Center, NE",Yes,10,13,0.7692307692307693
NH,all-surveys,"Hillsborough County House of Corrections, NH",Yes,10,14,0.7142857142857143
NY,all-surveys,"Monroe County Sheriff's Department, NY",No,10,41,0.24390243902439024
PA,all-surveys,"Cambria County Prison, PA",No,10,34,0.29411764705882354
PA,all-surveys,"Franklin County, PA",Yes,10,16,0.625
PA,all-surveys,"Lancaster County Prison, PA",Not sure,10,57,0.17543859649122806
PA,all-surveys,"Washington County, PA ",No,10,37,0.2702702702702703
TX,all-surveys,"Johnson County, TX",No,10,22,0.45454545454545453
TX,all-surveys,"Johnson County, TX",Yes,10,22,0.45454545454545453
VA,all-surveys,"Pamunkey Regional Jail, VA",Yes,10,35,0.2857142857142857
WA,all-surveys,"King County Adult Detention, WA",Not sure,10,57,0.17543859649122806
WV,all-surveys,WV DCR Tygart Valley Regional Jail,Yes,10,35,0.2857142857142857
CA,all-surveys,"Alameda County-Santa Rita, CA",Yes,9,17,0.5294117647058824
CA,all-surveys,"Butte County, CA",Yes,9,19,0.47368421052631576
CA,all-surveys,"Madera County, CA",Not sure,9,64,0.140625
CO,all-surveys,"Larimer County, CO",Not sure,9,31,0.2903225806451613
CO,all-surveys,"Pueblo County, CO",Not sure,9,51,0.17647058823529413
FL,all-surveys,"Escambia County Jail, FL",Yes,9,28,0.32142857142857145
FL,all-surveys,"Lake County Detention Center, FL",No,9,29,0.3103448275862069
FL,all-surveys,"Lee County, FL",No,9,34,0.2647058823529412
FL,all-surveys,"Monroe County-Key West, FL",No,9,15,0.6
FL,all-surveys,"Nassau County, FL",No,9,22,0.4090909090909091
FL,all-surveys,Santa Rosa County FL,Yes,9,32,0.28125
GA,all-surveys,"Cobb County, GA",No,9,38,0.23684210526315788
IL,all-surveys,"DuPage County Jail, IL",No,9,29,0.3103448275862069
IL,all-surveys,"Kane County, IL",No,9,44,0.20454545454545456
IN,all-surveys,"Floyd County Jail, IN",No,9,25,0.36
IN,all-surveys,"Hamilton County Main Jail, IN",Not sure,9,63,0.14285714285714285
IN,all-surveys,"Kosciusko County, IN",No,9,18,0.5
KY,all-surveys,"Madison County, KY",No,9,21,0.42857142857142855
KY,all-surveys,"Madison County, KY",Yes,9,21,0.42857142857142855
MA,all-surveys,"Essex County Middleton HOC, MA",Yes,9,23,0.391304347826087
MA,all-surveys,"Middlesex County House of Corrections, MA",No,9,26,0.34615384615384615
MA,all-surveys,"Worcester County Jail, MA",Yes,9,17,0.5294117647058824
MD,all-surveys,"Prince Georges County DOC, MD",Yes,9,15,0.6
MI,all-surveys,"Livingston County, MI",Yes,9,15,0.6
NC,all-surveys,Durham County NC - Detention Facility,Yes,9,14,0.6428571428571429
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Not sure,9,46,0.1956521739130435
NE,all-surveys,"Lancaster County, NE",No,9,46,0.1956521739130435
NJ,all-surveys,Middlesex County NJ: Adult Correctional,Yes,9,13,0.6923076923076923
NM,all-surveys,"Eddy County Detention Center, NM",Not sure,9,21,0.42857142857142855
NY,all-surveys,"Oneida County Correctional Facility, NY",Yes,9,21,0.42857142857142855
NY,all-surveys,"Onondaga County-Justice Center, NY",Yes,9,22,0.4090909090909091
NY,all-surveys,"Suffolk County, NY ",No,9,35,0.2571428571428571
