state,answer_set,facility_name,who_vote_for_supplement,count,n_respondents,pct_of_respondents
CO,all-surveys,"Denver County Jail, CO",Kamala Harris,18,73,0.2465753424657534
FL,all-surveys,"Escambia County Jail, FL",Donald J. Trump,18,28,0.6428571428571429
FL,all-surveys,"Pinellas County Jail, FL",Kamala Harris,18,89,0.20224719101123595
GA,all-surveys,"Athens Clarke County Jail, GA",Donald J. Trump,18,31,0.5806451612903226
MO,all-surveys,"St. Louis County Jail, MO",Donald J. Trump,18,39,0.46153846153846156
NM,all-surveys,"Santa Fe County Adult Correctional Facility, NM",Donald J. Trump,18,37,0.4864864864864865
PA,all-surveys,"Chester County Prison, PA",Donald J. Trump,18,27,0.6666666666666666
TN,all-surveys,"Warren County Jail, TN",Donald J. Trump,18,27,0.6666666666666666
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Donald J. Trump,18,40,0.45
VA,all-surveys,"Western Regional, VA",Donald J. Trump,18,27,0.6666666666666666
WA,all-surveys,"King County Adult Detention, WA",Kamala Harris,18,57,0.3157894736842105
WI,all-surveys,"Sheboygan County Jail, WI",Donald J. Trump,18,30,0.6
AL,all-surveys,"Tuscaloosa County Jail, AL",Donald J. Trump,17,33,0.5151515151515151
CO,all-surveys,"Larimer County, CO",Donald J. Trump,17,31,0.5483870967741935
FL,all-surveys,"Lee County, FL",Donald J. Trump,17,33,0.5151515151515151
IL,all-surveys,"Cook County, IL",Wouldn't vote,17,325,0.052307692307692305
KS,all-surveys,"Shawnee County Detention Center, KS",Donald J. Trump,17,36,0.4722222222222222
KY,all-surveys,"Madison County, KY",Donald J. Trump,17,22,0.7727272727272727
NC,all-surveys,"Craven County Jail, NC",Donald J. Trump,17,35,0.4857142857142857
NY,all-surveys,"Pasco County Corrections, FL",Wouldn't vote,17,147,0.11564625850340136
NY,all-surveys,"Suffolk County, NY ",Donald J. Trump,17,35,0.4857142857142857
PA,all-surveys,"Lancaster County Prison, PA",Kamala Harris,17,58,0.29310344827586204
TN,all-surveys,"Hamilton County, TN",Kamala Harris,17,46,0.3695652173913043
VA,all-surveys,"Chesapeake Correctional Center, VA",Kamala Harris,17,32,0.53125
VA,all-surveys,"Rappahannock Regional Jail, VA",Kamala Harris,17,76,0.2236842105263158
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Kamala Harris,17,58,0.29310344827586204
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Third-party candidate,16,600,0.02666666666666667
CA,all-surveys,"San Joaquin County Jail, CA",Kamala Harris,16,43,0.37209302325581395
CA,all-surveys,"Santa Barbara County, CA",Donald J. Trump,16,40,0.4
CA,all-surveys,"Santa Barbara County, CA",Kamala Harris,16,40,0.4
CA,all-surveys,"Santa Clara County, CA",Kamala Harris,16,33,0.48484848484848486
CA,all-surveys,"Ventura County Sheriff's Office, CA",Kamala Harris,16,53,0.3018867924528302
CO,all-surveys,"Mesa County, CO",Kamala Harris,16,55,0.2909090909090909
CO,all-surveys,"Pueblo County, CO",Kamala Harris,16,53,0.3018867924528302
FL,all-surveys,"Lake County Detention Center, FL",Donald J. Trump,16,29,0.5517241379310345
GA,all-surveys,"Cobb County, GA",Donald J. Trump,16,38,0.42105263157894735
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Kamala Harris,16,57,0.2807017543859649
IN,all-surveys,"Hamilton County Main Jail, IN",Kamala Harris,16,63,0.25396825396825395
IN,all-surveys,"Kosciusko County, IN",Donald J. Trump,16,18,0.8888888888888888
NC,all-surveys,"Cumberland County, NC",Donald J. Trump,16,37,0.43243243243243246
NY,all-surveys,"Albany County Correctional Facility, NY",Kamala Harris,16,45,0.35555555555555557
PA,all-surveys,"Dauphin County Jail, PA",Kamala Harris,16,76,0.21052631578947367
TX,all-surveys,"McLennan County, TX",Kamala Harris,16,49,0.32653061224489793
CA,all-surveys,"Madera County, CA",Kamala Harris,15,61,0.2459016393442623
CA,all-surveys,"Orange County, CA - Central Jail Complex",Kamala Harris,15,67,0.22388059701492538
CA,all-surveys,"Stanislaus County, CA",Kamala Harris,15,54,0.2777777777777778
FL,all-surveys,"Nassau County, FL",Donald J. Trump,15,22,0.6818181818181818
IL,all-surveys,"Kane County, IL",Donald J. Trump,15,43,0.3488372093023256
IL,all-surveys,"Kane County, IL",Kamala Harris,15,43,0.3488372093023256
MA,all-surveys,"Essex County Middleton HOC, MA",Donald J. Trump,15,24,0.625
MD,all-surveys,"Washington County Detention Center, MD",Donald J. Trump,15,30,0.5
NC,all-surveys,"Onslow County Jail, NC",Donald J. Trump,15,35,0.42857142857142855
NY,all-surveys,"Onondaga County-Justice Center, NY",Donald J. Trump,15,22,0.6818181818181818
OH,all-surveys,"Mahoning County Justice Center, OH",Donald J. Trump,15,29,0.5172413793103449
PA,all-surveys,"Westmoreland County, PA",Kamala Harris,15,62,0.24193548387096775
TX,all-surveys,"Collin County, TX ",Donald J. Trump,15,34,0.4411764705882353
TX,all-surveys,"Potter County Detention, TX",Kamala Harris,15,47,0.3191489361702128
UT,all-surveys,"Salt Lake City County, UT",Donald J. Trump,15,32,0.46875
UT,all-surveys,"Weber County Correctional Facility, UT",Donald J. Trump,15,21,0.7142857142857143
CA,all-surveys,"Sonoma County, CA",Kamala Harris,14,31,0.45161290322580644
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",Don't know,14,183,0.07650273224043716
GA,all-surveys,"Bibb County Jail, GA",Donald J. Trump,14,19,0.7368421052631579
NM,all-surveys,"Lea County Sheriff's Office, NM",Donald J. Trump,14,26,0.5384615384615384
NY,all-surveys,"Niagara County Correctional Facility, NY",Donald J. Trump,14,25,0.56
NY,all-surveys,"Pasco County Corrections, FL",Don't know,14,147,0.09523809523809523
TX,all-surveys,"Johnson County, TX",Donald J. Trump,14,22,0.6363636363636364
VA,all-surveys,"Henrico County Sheriff's Office, VA",Donald J. Trump,14,24,0.5833333333333334
WA,all-surveys,"Whatcom County, WA - Main Jail",Kamala Harris,14,33,0.42424242424242425
CA,all-surveys,"Fresno County, CA",Don't know,13,130,0.1
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",Wouldn't vote,13,183,0.07103825136612021
FL,all-surveys,"Leon County Jail, FL",Wouldn't vote,13,96,0.13541666666666666
FL,all-surveys,"Monroe County-Key West, FL",Donald J. Trump,13,16,0.8125
FL,all-surveys,"Sarasota County, FL",Kamala Harris,13,33,0.3939393939393939
MO,all-surveys,"St. Louis County Jail, MO",Kamala Harris,13,39,0.3333333333333333
NE,all-surveys,"Lancaster County, NE",Kamala Harris,13,47,0.2765957446808511
NM,all-surveys,"Eddy County Detention Center, NM",Donald J. Trump,13,21,0.6190476190476191
NY,all-surveys,"Oneida County Correctional Facility, NY",Donald J. Trump,13,22,0.5909090909090909
OH,all-surveys,"Summit County, OH",Donald J. Trump,13,26,0.5
PA,all-surveys,"Venango County Prison, PA",Donald J. Trump,13,16,0.8125
TX,all-surveys,"GEO Group-Kinney County, TX",Donald J. Trump,13,18,0.7222222222222222
FL,all-surveys,"Sarasota County, FL",Donald J. Trump,12,33,0.36363636363636365
IL,all-surveys,"DuPage County Jail, IL",Donald J. Trump,12,29,0.41379310344827586
IN,all-surveys,"Elkhart County Jail, IN",Kamala Harris,12,57,0.21052631578947367
MA,all-surveys,"Bristol County House of Correction, MA",Donald J. Trump,12,25,0.48
MA,all-surveys,"Worcester County Jail, MA",Donald J. Trump,12,19,0.631578947368421
ME,all-surveys,"Two Bridges Regional, ME",Donald J. Trump,12,14,0.8571428571428571
MI,all-surveys,"Livingston County, MI",Donald J. Trump,12,15,0.8
MI,all-surveys,"Macomb County, MI",Donald J. Trump,12,20,0.6
MI,all-surveys,"Washtenaw County Jail, MI",Kamala Harris,12,25,0.48
NC,all-surveys,"Craven County Jail, NC",Kamala Harris,12,35,0.34285714285714286
NJ,all-surveys,"Bergen County, NJ",Donald J. Trump,12,29,0.41379310344827586
NM,all-surveys,"Santa Fe County Adult Correctional Facility, NM",Kamala Harris,12,37,0.32432432432432434
NY,all-surveys,"Chautauqua County, NY",Donald J. Trump,12,24,0.5
NY,all-surveys,"Monroe County Sheriff's Department, NY",Kamala Harris,12,41,0.2926829268292683
NY,all-surveys,"Suffolk County, NY ",Kamala Harris,12,35,0.34285714285714286
OH,all-surveys,Corrections Center of NW Ohio,Kamala Harris,12,45,0.26666666666666666
OH,all-surveys,"Cuyahoga County Justice Center, OH",Don't know,12,125,0.096
PA,all-surveys,"Allegheny County Jail, PA",Kamala Harris,12,40,0.3
UT,all-surveys,"Beaver County, UT",Donald J. Trump,12,31,0.3870967741935484
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Kamala Harris,12,40,0.3
WA,all-surveys,"Whatcom County, WA - Main Jail",Donald J. Trump,12,33,0.36363636363636365
AL,all-surveys,"Montgomery County, AL",Donald J. Trump,11,21,0.5238095238095238
AL,all-surveys,"Riverside Regional, VA",Donald J. Trump,11,19,0.5789473684210527
AL,all-surveys,"Tuscaloosa County Jail, AL",Kamala Harris,11,33,0.3333333333333333
AZ,all-surveys,"Pima County Jail, AZ",Wouldn't vote,11,111,0.0990990990990991
CA,all-surveys,"Butte County, CA",Donald J. Trump,11,20,0.55
CA,all-surveys,"Sonoma County, CA",Donald J. Trump,11,31,0.3548387096774194
CO,all-surveys,"Jefferson County Detention Facility, CO",Kamala Harris,11,41,0.2682926829268293
GA,all-surveys,"Cobb County, GA",Kamala Harris,11,38,0.2894736842105263
GA,all-surveys,"Dekalb County Jail, GA",Kamala Harris,11,16,0.6875
IN,all-surveys,"Floyd County Jail, IN",Donald J. Trump,11,24,0.4583333333333333
KS,all-surveys,"Shawnee County Detention Center, KS",Kamala Harris,11,36,0.3055555555555556
MI,all-surveys,"Genesee County, MI",Donald J. Trump,11,23,0.4782608695652174
NC,all-surveys,"Cumberland County, NC",Kamala Harris,11,37,0.2972972972972973
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Kamala Harris,11,47,0.23404255319148937
NM,all-surveys,"Luna County Detention Center, NM",Donald J. Trump,11,21,0.5238095238095238
NY,all-surveys,"Erie County, NY",Kamala Harris,11,24,0.4583333333333333
OH,all-surveys,"Lorain County, OH ",Donald J. Trump,11,23,0.4782608695652174
PA,all-surveys,"Delaware County, PA",Donald J. Trump,11,24,0.4583333333333333
PA,all-surveys,"Delaware County, PA",Kamala Harris,11,24,0.4583333333333333
CA,all-surveys,"Fresno County, CA",Wouldn't vote,10,130,0.07692307692307693
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Don't know,10,114,0.08771929824561403
FL,all-surveys,"Lake County Detention Center, FL",Kamala Harris,10,29,0.3448275862068966
GA,all-surveys,"Athens Clarke County Jail, GA",Kamala Harris,10,31,0.3225806451612903
GA,all-surveys,"Columbia County Detention Center, GA",Kamala Harris,10,18,0.5555555555555556
IA,all-surveys,"Polk County, IA ",Donald J. Trump,10,25,0.4
ID,all-surveys,"Bonneville County, ID",Donald J. Trump,10,13,0.7692307692307693
IL,all-surveys,"DuPage County Jail, IL",Kamala Harris,10,29,0.3448275862068966
