state,answer_set,facility_name,who_vote_for,count,n_respondents,pct_of_respondents
TX,all-surveys,"Potter County Detention, TX",Wouldn't vote,12,52,0.23076923076923078
UT,all-surveys,"Iron County, UT",Donald J. Trump,12,15,0.8
WA,all-surveys,"Whatcom County, WA - Main Jail",Donald J. Trump,12,23,0.5217391304347826
WA,all-surveys,"Yakima County, WA",Wouldn't vote,12,86,0.13953488372093023
WI,all-surveys,"Rock County, WI",Donald J. Trump,12,26,0.46153846153846156
WV,all-surveys,WV DCR Potomac Highlands Regional Jail,Donald J. Trump,12,16,0.75
CA,all-surveys,"Fresno County, CA",Third-Party Candidate,11,167,0.0658682634730539
CA,all-surveys,"Stanislaus County, CA",Don't know,11,146,0.07534246575342465
CA,all-surveys,"Yuba County, CA ",Donald J. Trump,11,13,0.8461538461538461
CO,all-surveys,"Pueblo County, CO",Wouldn't vote,11,64,0.171875
CO,all-surveys,"Weld County, CO",Wouldn't vote,11,92,0.11956521739130435
IL,all-surveys,"Winnebago County, IL",Joe Biden,11,108,0.10185185185185185
KY,all-surveys,"Clay County Detention Center, KY",Donald J. Trump,11,13,0.8461538461538461
MA,all-surveys,"Hampshire County, MA",Donald J. Trump,11,18,0.6111111111111112
MA,all-surveys,"Suffolk County Jail, MA",Joe Biden,11,62,0.1774193548387097
MI,all-surveys,"Kalamazoo County, MI",Donald J. Trump,11,20,0.55
MI,all-surveys,"Kent County, MI ",Joe Biden,11,71,0.15492957746478872
NC,all-surveys,Durham County NC - Detention Facility,Donald J. Trump,11,20,0.55
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Joe Biden,11,65,0.16923076923076924
NJ,all-surveys,"Camden County Department of Corrections, NJ",Donald J. Trump,11,18,0.6111111111111112
NM,all-surveys,"Lea County Sheriff's Office, NM",Donald J. Trump,11,18,0.6111111111111112
NY,all-surveys,"Albany County Correctional Facility, NY",Wouldn't vote,11,72,0.1527777777777778
NY,all-surveys,"Monroe County Sheriff's Department, NY",Wouldn't vote,11,64,0.171875
NY,all-surveys,"Ulster County Jail, NY",Donald J. Trump,11,17,0.6470588235294118
OH,all-surveys,"Mahoning County Justice Center, OH",Wouldn't vote,11,78,0.14102564102564102
SC,all-surveys,"Aiken County, SC",Donald J. Trump,11,14,0.7857142857142857
TX,all-surveys,"Collin County, TX ",Wouldn't vote,11,52,0.21153846153846154
TX,all-surveys,"Travis County Jail, TX",Don't know,11,166,0.06626506024096386
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Wouldn't vote,11,82,0.13414634146341464
CA,all-surveys,"Orange County, CA - Central Jail Complex",Wouldn't vote,10,69,0.14492753623188406
CO,all-surveys,"Larimer County, CO",Donald J. Trump,10,28,0.35714285714285715
CO,all-surveys,"Pueblo County, CO",Third-Party Candidate,10,64,0.15625
CO,all-surveys,"Weld County, CO",Don't know,10,92,0.10869565217391304
FL,all-surveys,"Monroe County-Key West, FL",Donald J. Trump,10,17,0.5882352941176471
GA,all-surveys,"Columbia County Detention Center, GA",Donald J. Trump,10,21,0.47619047619047616
GA,all-surveys,"Forsyth County Detention Center, GA",Donald J. Trump,10,16,0.625
IL,all-surveys,"Winnebago County, IL",Third-Party Candidate,10,108,0.09259259259259259
MA,all-surveys,"Franklin County Jail, MA",Donald J. Trump,10,12,0.8333333333333334
MA,all-surveys,"Suffolk County Jail, MA",Wouldn't vote,10,62,0.16129032258064516
ME,all-surveys,"Two Bridges Regional, ME",Donald J. Trump,10,18,0.5555555555555556
MO,all-surveys,"St. Louis County Jail, MO",Joe Biden,10,74,0.13513513513513514
NC,all-surveys,"Cumberland County, NC",Joe Biden,10,72,0.1388888888888889
NH,all-surveys,"Hillsborough County House of Corrections, NH",Donald J. Trump,10,17,0.5882352941176471
NJ,all-surveys,"Cumberland County Jail, NJ",Donald J. Trump,10,15,0.6666666666666666
NJ,all-surveys,"Ocean County, NJ",Donald J. Trump,10,16,0.625
NY,all-surveys,"Albany County Correctional Facility, NY",Joe Biden,10,72,0.1388888888888889
OH,all-surveys,"Cuyahoga County Justice Center, OH",Third-Party Candidate,10,153,0.06535947712418301
PA,all-surveys,"Dauphin County Jail, PA",Wouldn't vote,10,84,0.11904761904761904
VA,all-surveys,"Chesapeake Correctional Center, VA",Joe Biden,10,64,0.15625
WA,all-surveys,"Yakima County, WA",Joe Biden,10,86,0.11627906976744186
WV,all-surveys,WV DCR North Central Regional Jail,Wouldn't vote,10,75,0.13333333333333333
