state,answer_set,facility_name,vote_impact_government_level,count,n_respondents,pct_of_respondents
UT,all-surveys,"Salt Lake City County, UT",Federal,14,46,0.30434782608695654
VA,all-surveys,"Western Regional, VA",State,14,34,0.4117647058823529
AL,all-surveys,"Etowah County Jail, AL",State,13,30,0.43333333333333335
CA,all-surveys,"Madera County, CA",Federal,13,43,0.3023255813953488
CA,all-surveys,"Santa Barbara County, CA",Federal,13,50,0.26
CO,all-surveys,"Douglas Detention Center, CO",State,13,29,0.4482758620689655
CO,all-surveys,"Jefferson County Detention Facility, CO",Federal,13,43,0.3023255813953488
CO,all-surveys,"Mesa County, CO",County,13,57,0.22807017543859648
FL,all-surveys,Santa Rosa County FL,City / Town,13,37,0.35135135135135137
MA,all-surveys,"Plymouth County Correctional Facility, MA",State,13,32,0.40625
PA,all-surveys,"Dauphin County Jail, PA",County,13,81,0.16049382716049382
TX,all-surveys,"Collin County, TX ",State,13,50,0.26
TX,all-surveys,"Potter County Detention, TX",State,13,48,0.2708333333333333
UT,all-surveys,"Salt Lake City County, UT",City / Town,13,46,0.2826086956521739
UT,all-surveys,"Salt Lake City County, UT",State,13,46,0.2826086956521739
VA,all-surveys,"Chesapeake Correctional Center, VA",Federal,13,57,0.22807017543859648
VA,all-surveys,"Pamunkey Regional Jail, VA",State,13,35,0.37142857142857144
CO,all-surveys,"Weld County, CO",County,12,86,0.13953488372093023
FL,all-surveys,Santa Rosa County FL,Federal,12,37,0.32432432432432434
GA,all-surveys,"Athens Clarke County Jail, GA",City / Town,12,51,0.23529411764705882
IL,all-surveys,"Kane County, IL",State,12,36,0.3333333333333333
MO,all-surveys,"Cape Girardeau County Jail, MO",City / Town,12,46,0.2608695652173913
NY,all-surveys,"Niagara County Correctional Facility, NY",Federal,12,35,0.34285714285714286
OH,all-surveys,"Summit County, OH",State,12,30,0.4
PA,all-surveys,"Lackawana County, PA",County,12,79,0.1518987341772152
PA,all-surveys,"Westmoreland County, PA",Federal,12,57,0.21052631578947367
PA,all-surveys,"Westmoreland County, PA",State,12,57,0.21052631578947367
TX,all-surveys,"McLennan County, TX",Federal,12,53,0.22641509433962265
AZ,all-surveys,"Pima County Jail, AZ",County,11,144,0.0763888888888889
AZ,all-surveys,"Pinal County Jail, AZ",City / Town,11,32,0.34375
CO,all-surveys,"Mesa County, CO",State,11,57,0.19298245614035087
FL,all-surveys,"Escambia County Jail, FL",Federal,11,33,0.3333333333333333
FL,all-surveys,"Sarasota County, FL",State,11,43,0.2558139534883721
GA,all-surveys,"Bibb County Jail, GA",Federal,11,42,0.2619047619047619
IN,all-surveys,"Hamilton County Main Jail, IN",County,11,60,0.18333333333333332
MA,all-surveys,"Essex County Middleton HOC, MA",Federal,11,58,0.1896551724137931
MA,all-surveys,"Middlesex County House of Corrections, MA",State,11,51,0.21568627450980393
NJ,all-surveys,"Bergen County, NJ",City / Town,11,30,0.36666666666666664
NJ,all-surveys,"Bergen County, NJ",State,11,30,0.36666666666666664
NM,all-surveys,"Chaves County Adult Detention Center, NM",City / Town,11,21,0.5238095238095238
NM,all-surveys,"Luna County Detention Center, NM",City / Town,11,27,0.4074074074074074
